wl,n
0.2100,1.831
0.2200,1.817
0.2300,1.805
0.2400,1.793
0.2500,1.789
0.2600,1.779
0.2700,1.776
0.2800,1.772
0.2900,1.767
0.3000,1.762
0.3100,1.762
0.3200,1.762
0.3300,1.761
0.3400,1.760
0.3500,1.758
0.3600,1.757
0.3700,1.757
0.3800,1.757
0.3900,1.757
0.4000,1.756
0.4100,1.755
0.4200,1.754
0.4300,1.754
0.4400,1.754
0.4500,1.754
0.4600,1.754
0.4700,1.754
0.4800,1.754
0.4900,1.754
0.5000,1.754
0.5100,1.753
0.5200,1.753
0.5300,1.753
0.5400,1.753
0.5500,1.753
0.5600,1.752
0.5700,1.752
0.5800,1.752
0.5900,1.752
0.6000,1.752
0.6100,1.751
0.6200,1.751
0.6300,1.751
0.6400,1.751
0.6500,1.751
0.6600,1.751
0.6700,1.751
0.6800,1.751
0.6900,1.751
0.7000,1.751
0.7100,1.751
0.7200,1.751
0.7300,1.750
0.7400,1.750
0.7500,1.750
0.7600,1.750
0.7700,1.750
0.7800,1.750
0.7900,1.750
0.8000,1.750
0.8100,1.750
0.8200,1.750
0.8300,1.750
0.8400,1.750
0.8500,1.750
0.8600,1.750
0.8700,1.750
0.8800,1.750
0.8900,1.750
0.9000,1.750
0.9100,1.750
0.9200,1.750
0.9300,1.750
0.9400,1.750
0.9500,1.750
0.9600,1.750
0.9700,1.750
0.9800,1.750
0.9900,1.749
1.0000,1.749
1.0100,1.749
1.0200,1.749
1.0300,1.749
1.0400,1.749
1.0500,1.749
1.0600,1.749
1.0700,1.749
1.0800,1.749
1.0900,1.749
1.1000,1.749
1.1100,1.749
1.1200,1.749
1.1300,1.749
1.1400,1.749
1.1500,1.749
1.1600,1.749
1.1700,1.749
1.1800,1.749
1.1900,1.749
1.2000,1.749
1.2100,1.749
1.2200,1.749
1.2300,1.749
1.2400,1.749
1.2500,1.749
1.2600,1.749
1.2700,1.749
1.2800,1.749
1.2900,1.749
1.3000,1.749
1.3100,1.748
1.3200,1.748
1.3300,1.748
1.3400,1.748
1.3500,1.748
1.3600,1.748
1.3700,1.748
1.3800,1.748
1.3900,1.749
1.4000,1.748
1.4100,1.748
1.4200,1.748
1.4300,1.748
1.4400,1.748
1.4500,1.748
1.4600,1.748
1.4700,1.748
1.4800,1.748
1.4900,1.747
1.5000,1.747
1.5100,1.747
1.5200,1.747
1.5300,1.746
1.5400,1.746
1.5500,1.747
1.5600,1.746
1.5700,1.746
1.5800,1.745
1.5900,1.745
1.6000,1.745
1.6100,1.745
1.6200,1.745
1.6300,1.744
1.6400,1.744
1.6500,1.744
1.6600,1.744
1.6700,1.744
1.6800,1.744
1.6900,1.744
1.7000,1.744
1.7100,1.744
1.7200,1.744
1.7300,1.744
1.7400,1.743
1.7500,1.743
