wl,n
3.6496,1.670
3.6630,1.669
3.6765,1.669
3.6900,1.668
3.7037,1.667
3.7175,1.667
3.7313,1.666
3.7453,1.665
3.7594,1.665
3.7736,1.665
3.7879,1.664
3.8023,1.663
3.8166,1.662
3.8314,1.661
3.8462,1.661
3.8610,1.661
3.8760,1.660
3.8911,1.660
3.9063,1.659
3.9216,1.659
3.9370,1.658
3.9526,1.657
3.9683,1.656
3.9841,1.655
4.0000,1.654
4.0161,1.653
4.0323,1.653
4.0486,1.652
4.0650,1.651
4.0816,1.651
4.0984,1.651
4.1152,1.650
4.1322,1.649
4.1494,1.648
4.1667,1.647
4.1841,1.647
4.2017,1.646
4.2194,1.646
4.2373,1.646
4.2553,1.645
4.2735,1.644
4.2918,1.643
4.3103,1.643
4.3290,1.642
4.3478,1.641
4.3668,1.640
4.3860,1.638
4.4053,1.637
4.4248,1.636
4.4444,1.635
4.4643,1.634
4.4843,1.633
4.5045,1.632
4.5249,1.631
4.5455,1.630
4.5662,1.629
4.5872,1.628
4.6083,1.627
4.6296,1.626
4.6512,1.625
4.6729,1.624
4.6948,1.623
4.7170,1.622
4.7393,1.621
4.7619,1.620
4.7847,1.619
4.8077,1.618
4.8309,1.616
4.8544,1.615
4.8780,1.614
4.9020,1.613
4.9261,1.611
4.9505,1.610
4.9751,1.609
5.0000,1.608
5.0251,1.607
5.0505,1.606
5.0761,1.604
5.1020,1.603
5.1232,1.602
5.1546,1.601
5.1817,1.599
5.2083,1.598
5.2356,1.597
5.2632,1.596
5.2910,1.594
5.3191,1.593
5.3476,1.591
5.3763,1.589
5.4054,1.587
5.4349,1.585
5.4645,1.583
5.4945,1.581
5.5249,1.579
5.5556,1.577
5.5866,1.575
5.6180,1.573
5.6497,1.570
5.6818,1.568
5.7143,1.566
5.7471,1.563
5.7803,1.561
5.8140,1.558
5.8480,1.556
5.8824,1.554
5.9172,1.551
5.9524,1.549
5.9880,1.546
6.0241,1.543
6.0606,1.540
6.0976,1.538
6.1350,1.535
6.1728,1.532
6.2112,1.529
6.2500,1.526
6.2893,1.523
6.3291,1.520
6.3694,1.517
6.4103,1.513
6.4516,1.510
6.4935,1.507
6.5359,1.503
6.5789,1.500
6.6225,1.496
6.6667,1.492
6.7114,1.487
6.7568,1.483
6.8027,1.479
6.8493,1.474
6.8966,1.470
6.9414,1.465
6.9710,1.461
7.0423,1.456
7.0722,1.451
7.1429,1.446
7.1942,1.441
7.2464,1.435
7.2993,1.430
7.3529,1.424
7.4074,1.418
7.4627,1.412
7.5188,1.405
7.5758,1.399
7.6336,1.392
7.6923,1.385
7.7519,1.378
7.8125,1.370
7.8740,1.360
7.9365,1.351
8.0000,1.342
8.0645,1.334
8.1301,1.323
8.1967,1.312
8.2645,1.305
8.3333,1.297
8.4034,1.287
8.4746,1.269
8.5470,1.256
8.6207,1.249
8.6957,1.243
8.7719,1.229
8.8496,1.213
8.9286,1.197
9.0090,1.185
9.0909,1.168
9.1743,1.151
9.2593,1.135
9.3458,1.113
9.4340,1.093
9.5238,1.075
9.6154,1.064
9.7087,1.039
9.8039,1.014
9.9010,0.988
10.0000,0.963
10.1010,0.938
10.2041,0.905
10.3093,0.870
10.4167,0.828
10.5263,0.786
10.6383,0.740
10.7527,0.692
10.8696,0.631
10.9890,0.554
11.1111,0.475
11.2360,0.370
11.3636,0.261
11.4943,0.174
11.6279,0.124
11.7647,0.103
11.9048,0.095
12.0482,0.096
12.1951,0.104
12.3457,0.112
12.5000,0.115
12.6582,0.114
12.8205,0.116
12.9870,0.123
13.1579,0.125
13.3333,0.123
13.5135,0.122
13.6986,0.129
13.8889,0.136
14.0845,0.141
14.2857,0.144
14.4928,0.150
14.7059,0.168
14.9254,0.204
15.1515,0.249
15.3846,0.284
15.6250,0.301
15.8730,0.341
16.1290,0.451
16.3934,0.732
16.6667,1.088
16.9492,2.037
17.2414,5.146
17.5439,6.173
17.8571,4.361
18.1818,3.346
18.5185,2.606
18.8679,1.982
19.2308,1.298
19.6078,0.306
20.0000,0.126
20.4082,0.135
20.8333,0.147
21.2766,0.137
21.7391,0.161
22.2222,0.222
22.7273,0.353
23.2558,0.644
23.8095,1.109
24.3902,2.014
25.0000,6.251
25.6410,13.617
26.3158,10.005
27.0270,7.689
27.7778,6.604
28.5714,5.960
29.4118,5.538
30.3030,5.213
31.2500,4.947
32.2581,4.717
33.3333,4.536
34.4828,4.389
35.7143,4.297
37.0370,4.226
38.4615,4.136
40.0000,4.055
41.6667,3.984
43.4783,3.921
45.4545,3.865
47.6190,3.814
50.0000,3.768
52.6316,3.727
55.5556,3.689
