n1,l1,j1,n2,l2,j2,dipole matrix element reduced J basis (a.u.),comment,"theory = 1, experiment = 0",accuracy,source,doi
6,1,0.5,7,2,1.5,2.05,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,7,2,1.5,0.976,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,7,2,2.5,2.89,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,10,2,2.5,0.979,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,11,2,2.5,0.782,"table I, absolute",1,0.005,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,0.5,6,2,1.5,17.99,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,6,2,1.5,8.07,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,6,2,2.5,24.35,"table I, absolute",1,0.06,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,10,2,1.5,0.68,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,10,2,2.5,2.02,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,11,2,2.5,1.55,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,1,0.5,7,2,1.5,32,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,1,1.5,7,2,1.5,14.35,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,1,1.5,7,2,2.5,43.2,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,1,0.5,8,2,1.5,49.3,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,1,1.5,8,2,1.5,22.14,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,1,1.5,8,2,2.5,66.6,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,1,0.5,9,2,1.5,70,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,1,1.5,9,2,1.5,31.45,"table I, absolute",1,0.08,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,1,1.5,9,2,2.5,94.5,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,1,0.5,10,2,1.5,94.1,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,1,1.5,10,2,1.5,42.29,"table I, absolute",1,0.09,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,1,1.5,10,2,2.5,127,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,1,0.5,11,2,1.5,121.6,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,1,1.5,11,2,1.5,54.66,"table I, absolute",1,0.09,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,1,1.5,11,2,2.5,164.1,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,0,0.5,8,1,0.5,1.002,"table I, absolute",1,0.009,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,0,0.5,9,1,0.5,2.24,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
13,0,0.5,7,1,0.5,0.37,"table I, absolute",1,0.003,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
13,0,0.5,8,1,0.5,0.727,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,6,1,0.5,7.1,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,7,1,0.5,2.3,"table I, absolute",1,0.4,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,8,1,0.5,0.63,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,9,1,0.5,0.34,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,10,1,0.5,0.22,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,11,1,0.5,0.164,"table I, absolute",1,0.009,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,12,1,0.5,0.128,"table I, absolute",1,0.007,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,6,1,1.5,3.19,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,7,1,1.5,0.9,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,8,1,1.5,0.26,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,9,1,1.5,0.14,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,10,1,1.5,0.091,"table I, absolute",1,0.007,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,11,1,1.5,0.067,"table I, absolute",1,0.005,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,12,1,1.5,0.052,"table I, absolute",1,0.004,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,6,1,1.5,9.7,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
